Table Name, Measure Name,Status
Date, Week NUmber selected,
Date, current_week_display,used
Date, next_week_display,
Date, next_week,
Date, Current Year Number,used
Date, Weeks_in_year_UPDATE_ME,used
Date, CHECK WEEKINDEX,
Date, FirstDayOfNextWeek,used
Date, FirstDayOfWeekAfterNext,used
Date, FirstDayOfThirdUpcomingWeek,used
Date, FirstDayOf4thUpcomingWeek,used
Market Hierarchy, TT_ServiceNow,used
Metrics, ASP CY,used
Metrics, Basket Value CY,
Metrics, Conversion CY,
Metrics, LFL ASP %,
Metrics, LFL ASP CY,
Metrics, LFL ASP LY,
Metrics, LFL Basket Value %,
Metrics, LFL Basket Value CY,used
Metrics, LFL Basket Value LY,used
Metrics, LFL Conversion Rate %,
Metrics, LFL Conversion Rate CY,
Metrics, LFL Conversion Rate LY,
Metrics, LFL Sell Out CY,used
Metrics, LFL Sell Out LY,used
Metrics, LFL Sell Out per sqr meter %,
Metrics, LFL Sell Out per sqr meter CY,
Metrics, LFL Sell Out per sqr meter LY,
Metrics, LFL Sell Out Store Count,
Metrics, LFL Transaction % (Store w/Traffic),
Metrics, LFL Transaction %,
Metrics, LFL Transaction CY,used
Metrics, LFL Transaction LY,used
Metrics, LFL Transactions CY (Stores w/ Traffic),
Metrics, LFL Transactions LY (Stores w/ Traffic),
Metrics, LFL Units %,
Metrics, LFL Units CY,
Metrics, LFL Units LY,
Metrics, LFL UPT %,
Metrics, LFL UPT CY,
Metrics, LFL UPT LY,
Metrics, LFL Visitor Count CY,used
Metrics, LFL Visitor Count LY,used
Metrics, LFL Visitors %,
Metrics, Quantity Movement,
Metrics, Retail Value DKK,
Metrics, RetailDaily_TransactionCount,
Metrics, RetailDaily_TransactionsStoresWithVisitorCount,
Metrics, RetailWeekly_TransactionCountCY,
Metrics, RetailWeekly_TransactionCountLY,
Metrics, RetailWeekly_TransactionCountStoresWithVisitorCountCY,
Metrics, RetailWeekly_TransactionCountStoresWithVisitorCountLY,
Metrics, RetailWeekly_VisitorCountCY,
Metrics, Sell Out (LFL rates) %,
Metrics, Sell Out (LFL Rates) CY,
Metrics, Sell Out (LFL Rates) LY,
Metrics, Sell Out CY,
Metrics, Sell Out DKK Budget CY,
Metrics, Sell Out per sqr meter CY,
Metrics, Sell Out Store Count,
Metrics, SellOutDaily_SalesArea,
Metrics, SelloutDaily_Units,
Metrics, SellOutWeekly_LFLUnitsCY,
Metrics, SellOutWeekly_LFLUnitsLY,
Metrics, SellOutWeekly_SalesArea,
Metrics, Transaction CY,
Metrics, Transaction CY (Stores w/ Traffic),
Metrics, Units CY,
Metrics, UPT CY,
Metrics, Visitors CY,
Metrics, Quantity On Hand,
Metrics, SellOutDaily_Sell Out DKK Budget LCY,
Metrics, RetailWeekly_VisitorCountLY,
Metrics, Stock_RetailValueDKK,
Metrics, Adjustment Quantity,
Metrics, Counted Quantity,
Metrics, Days In Transit,
Metrics, On Hand Quantity,
Metrics, Ordered Purchase Quantity,
Metrics, Received Purchase Quantity,
Metrics, Remaining Purchase Quantity,
Metrics, LFL Sell Out %,
Metrics, SellOutDaily_SellOut_LCY,
Metrics, SellOutWeekly_LFLSalesCY_LCY,
Metrics, SellOutWeekly_LFLSalesLY_LCY,
Metrics, SellOutDaily_SellOut_DKK,
Metrics, SellOutDaily_SellOut_EUR,
Metrics, SellOutDaily_SellOut_USD,
Metrics, SellOutDaily_SellOut_GBP,
Metrics, SellOutDaily_SellOut_CNY,
Metrics, SellOutDaily_SellOut_AUD,
Metrics, SellOutWeekly_LFLSalesCY_DKK,
Metrics, SellOutWeekly_LFLSalesCY_EUR,
Metrics, SellOutWeekly_LFLSalesCY_USD,
Metrics, SellOutWeekly_LFLSalesCY_GBP,
Metrics, SellOutWeekly_LFLSalesCY_CNY,
Metrics, SellOutWeekly_LFLSalesCY_AUD,
Metrics, SellOutWeekly_LFLSalesLY_DKK,
Metrics, SellOutWeekly_LFLSalesLY_EUR,
Metrics, SellOutWeekly_LFLSalesLY_USD,
Metrics, SellOutWeekly_LFLSalesLY_GBP,
